repo_name,commit_num,commit,prev_true_snapshot_label,true_snapshot_label,prev_pred_snapshot_label,pred_snapshot_label,true_snapshot_transition,pred_snapshot_transition,true_snapshot_malicious,pred_snapshot_malicious,new_slice_count,new_true_malicious_count,new_pred_malicious_count,candidate_true_same_malicious,candidate_pred_same_malicious,new_slice_details
ScaryMalware,2,702da,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<module>@malware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
ScaryMalware,4,e22de,Full Attack Chain,Full Attack Chain,Full Attack Chain,Core Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Core Attack Chain,1,1,1,1,1,1,0,NEW@<module>@malware.py_slice.py|T:Full Attack Chain|P:Core Attack Chain
ScaryMalware,5,c5ff7,Full Attack Chain,Full Attack Chain,Core Attack Chain,Core Attack Chain,Full Attack Chain->Full Attack Chain,Core Attack Chain->Core Attack Chain,1,1,1,1,1,1,1,NEW@<module>@malware.py_slice.py|T:Full Attack Chain|P:Core Attack Chain
ScaryMalware,6,2e6cf,Full Attack Chain,Full Attack Chain,Core Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Core Attack Chain->Full Attack Chain,1,1,1,1,1,1,0,NEW@<module>@malware.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
ScaryMalware,7,2c725,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,0,0,0,1,1,
ScaryMalware,8,3b2cc,Full Attack Chain,Full Attack Chain,Full Attack Chain,Core Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Core Attack Chain,1,1,1,1,1,1,0,NEW@<module>@malware.py_slice.py|T:Full Attack Chain|P:Core Attack Chain
ScaryMalware,9,06075,Full Attack Chain,Full Attack Chain,Core Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Core Attack Chain->Full Attack Chain,1,1,1,1,1,1,0,NEW@<module>@malware.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
ScaryMalware,10,36f13,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain,Full Attack Chain->Full Attack Chain,Full Attack Chain->Full Attack Chain,1,1,1,1,1,1,1,NEW@<module>@malware.py_slice.py|T:Full Attack Chain|P:Full Attack Chain
Spyware,1,84840,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,5,5,5,1,1,NEW@<body>@WindowTracker.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@WindowTracker.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@main.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
Spyware,2,7952d,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,6,5,5,1,1,NEW@<body>@FileHandler.py_slice.py|T:Benign|P:Benign || NEW@<body>@WindowTracker.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@WindowTracker.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@main.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
Spyware,3,53c4a,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,5,3,3,1,1,NEW@<body>@Screenshot.py_slice.py|T:Undetermined|P:Undetermined || NEW@<body>@WindowTracker.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@Screenshot.py_slice.py|T:Undetermined|P:Undetermined || NEW@<module>@WindowTracker.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@main.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
Spyware,4,289d2,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,3,3,3,1,1,NEW@<body>@WindowTracker.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@WindowTracker.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@main.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
Spyware,5,d5db4,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,10,7,7,1,1,NEW@<body>@FileHandler.py_slice.py|T:Undetermined|P:Undetermined || NEW@<body>@Malware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@Screenshot.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@WindowTracker.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@Malware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@Screenshot.py_slice.py|T:Undetermined|P:Undetermined || NEW@<module>@WindowTracker.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@command_test.py_slice.py|T:Undetermined|P:Undetermined || NEW@<module>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
Spyware,6,21e7f,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,5,5,5,1,1,NEW@<body>@Configuration.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@Malware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@WindowTracker.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@Malware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
Spyware,7,47253,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,5,4,4,1,1,NEW@<body>@Malware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@WindowTracker.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@FileHandler.py_slice.py|T:Undetermined|P:Undetermined || NEW@<module>@Malware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain
Spyware,8,3bac0,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,0,0,0,1,1,
Spyware,9,401eb,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,5,4,4,1,1,NEW@<body>@Malware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@WindowTracker.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@Malware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@executeShellCommand@Util.py_slice.py|T:Undetermined|P:Undetermined
Spyware,10,132bd,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,7,5,5,1,1,NEW@<body>@Configuration.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@Malware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@WindowTracker.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@Malware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@json_test.py_slice.py|T:Benign|P:Benign || NEW@executeShellCommand@Util.py_slice.py|T:Undetermined|P:Undetermined
Spyware,11,e9d43,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain,Core Attack Chain->Core Attack Chain,Core Attack Chain->Core Attack Chain,1,1,8,6,6,1,1,NEW@<body>@Communication.py_slice.py|T:Undetermined|P:Undetermined || NEW@<body>@Configuration.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@Malware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@WindowTracker.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<body>@keylogger.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@Communication.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@<module>@Malware.py_slice.py|T:Core Attack Chain|P:Core Attack Chain || NEW@executeShellCommand@Util.py_slice.py|T:Undetermined|P:Undetermined
