repo_name,commit_num,commit,code_slice,classification,result_two_steps,reasoning,commit_actual_malicious,commit_pred_malicious
KMike,12,647fe,NEW@<module>@helper_scripts_master_key_pair_gen.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,12,647fe,NEW@<module>@ransomware_core_comms.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,12,647fe,NEW@<module>@ransomware_core_encrypt_files.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,12,647fe,NEW@<module>@ransomware_core_utils.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,12,647fe,<module>@c_and_c_server_server.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,12,647fe,<module>@c_and_c_server_asymmetric_encryption.py_slice.py,Undetermined,Undetermined,,False,True
KMike,14,62b21,NEW@<module>@ransomware_core_comms_payment.py_slice.py,Undetermined,Undetermined,,False,True
KMike,14,62b21,NEW@initialise@c_and_c_server_server.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,14,62b21,NEW@<module>@c_and_c_server_db.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,14,62b21,NEW@<module>@c_and_c_server_server.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,14,62b21,NEW@<module>@c_and_c_server_payment.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,14,62b21,NEW@<body>@ransomware_core_crypto_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,14,62b21,<module>@helper_scripts_master_key_pair_gen.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,14,62b21,<module>@ransomware_core_decrypt_files.py_slice.py,Benign,Benign,,False,True
KMike,14,62b21,NEW@<module>@ransomware_core_utils.py_slice.py,Benign,Benign,,False,True
KMike,14,62b21,NEW@<module>@c_and_c_server_utils.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,14,62b21,NEW@<body>@c_and_c_server_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,14,62b21,NEW@<module>@ransomware_core_comms_decrypt.py_slice.py,Undetermined,Undetermined,,False,True
KMike,14,62b21,<module>@c_and_c_server_asymmetric_encryption.py_slice.py,Undetermined,Undetermined,,False,True
KMike,15,abafd,NEW@<module>@ransomware_core_comms_payment.py_slice.py,Undetermined,Undetermined,,False,True
KMike,15,abafd,NEW@<module>@ransomware_core_decrypt_files.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,15,abafd,NEW@initialise@c_and_c_server_server.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,15,abafd,NEW@<module>@c_and_c_server_db.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,15,abafd,NEW@<module>@c_and_c_server_server.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,15,abafd,NEW@<module>@c_and_c_server_payment.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,15,abafd,NEW@<body>@ransomware_core_crypto_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,15,abafd,<module>@helper_scripts_master_key_pair_gen.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,15,abafd,NEW@<module>@ransomware_core_utils.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,15,abafd,NEW@<module>@c_and_c_server_utils.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,15,abafd,NEW@<body>@c_and_c_server_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,15,abafd,NEW@<module>@ransomware_core_comms_decrypt.py_slice.py,Undetermined,Undetermined,,False,True
KMike,15,abafd,<module>@c_and_c_server_asymmetric_encryption.py_slice.py,Undetermined,Undetermined,,False,True
KMike,16,33184,NEW@<module>@ransomware_core_decrypt_files.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,16,33184,NEW@initialise@c_and_c_server_server.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,16,33184,NEW@<body>@ransomware_core_crypto_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,16,33184,NEW@<module>@ransomware_core_utils_statistics.py_slice.py,Undetermined,Undetermined,,False,True
KMike,16,33184,<module>@helper_scripts_master_key_pair_gen.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,16,33184,NEW@<module>@ransomware_core_utils_file_ops.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,16,33184,<module>@c_and_c_server_payment.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,16,33184,NEW@<module>@ransomware_core_comms_bitcoin_address.py_slice.py,Undetermined,Undetermined,,False,True
KMike,16,33184,<module>@c_and_c_server_server.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,16,33184,NEW@<module>@c_and_c_server_utils.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,16,33184,NEW@<body>@c_and_c_server_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,16,33184,NEW@<module>@ransomware_core_comms_decrypt.py_slice.py,Undetermined,Undetermined,,False,True
KMike,16,33184,<module>@c_and_c_server_asymmetric_encryption.py_slice.py,Undetermined,Undetermined,,False,True
KMike,16,33184,<module>@c_and_c_server_db.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,17,d75a9,NEW@<module>@ransomware_core_decrypt_files.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,17,d75a9,NEW@initialise@c_and_c_server_server.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,17,d75a9,NEW@<module>@c_and_c_server_asymmetric_encryption.py_slice.py,Undetermined,Undetermined,,False,True
KMike,17,d75a9,NEW@<body>@ransomware_core_crypto_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,17,d75a9,NEW@<module>@ransomware_core_utils_statistics.py_slice.py,Benign,Benign,,False,True
KMike,17,d75a9,<module>@helper_scripts_master_key_pair_gen.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,17,d75a9,NEW@<module>@ransomware_core_utils_file_ops.py_slice.py,Undetermined,Undetermined,,False,True
KMike,17,d75a9,<module>@c_and_c_server_payment.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,17,d75a9,NEW@<module>@ransomware_core_comms_bitcoin_address.py_slice.py,Undetermined,Undetermined,,False,True
KMike,17,d75a9,<module>@c_and_c_server_server.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,17,d75a9,NEW@<module>@c_and_c_server_utils.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,17,d75a9,NEW@<body>@c_and_c_server_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,17,d75a9,NEW@<module>@ransomware_core_comms_decrypt.py_slice.py,Undetermined,Undetermined,,False,True
KMike,17,d75a9,<module>@c_and_c_server_db.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,18,6e12c,initialise@c_and_c_server_server.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,18,6e12c,<module>@c_and_c_server_utils.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,18,6e12c,<module>@ransomware_core_utils_statistics.py_slice.py,Benign,Benign,,False,True
KMike,18,6e12c,<module>@ransomware_core_comms_bitcoin_address.py_slice.py,Undetermined,Undetermined,,False,True
KMike,18,6e12c,<module>@helper_scripts_master_key_pair_gen.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,18,6e12c,<module>@ransomware_core_utils_file_ops.py_slice.py,Undetermined,Undetermined,,False,True
KMike,18,6e12c,<body>@ransomware_core_crypto_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,18,6e12c,<module>@ransomware_core_decrypt_files.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,18,6e12c,<module>@c_and_c_server_payment.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,18,6e12c,<module>@c_and_c_server_server.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,18,6e12c,<module>@c_and_c_server_asymmetric_encryption.py_slice.py,Undetermined,Undetermined,,False,True
KMike,18,6e12c,<module>@c_and_c_server_db.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,18,6e12c,<module>@ransomware_core_comms_decrypt.py_slice.py,Undetermined,Undetermined,,False,True
KMike,18,6e12c,<body>@c_and_c_server_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,19,260e6,initialise@c_and_c_server_server.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,19,260e6,<module>@c_and_c_server_utils.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,19,260e6,<module>@ransomware_core_utils_statistics.py_slice.py,Benign,Benign,,False,True
KMike,19,260e6,<module>@ransomware_core_comms_bitcoin_address.py_slice.py,Undetermined,Undetermined,,False,True
KMike,19,260e6,<module>@helper_scripts_master_key_pair_gen.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,19,260e6,<module>@ransomware_core_utils_file_ops.py_slice.py,Undetermined,Undetermined,,False,True
KMike,19,260e6,<body>@ransomware_core_crypto_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,19,260e6,<module>@ransomware_core_decrypt_files.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,19,260e6,<module>@c_and_c_server_payment.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,19,260e6,<module>@c_and_c_server_server.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,19,260e6,<module>@c_and_c_server_asymmetric_encryption.py_slice.py,Undetermined,Undetermined,,False,True
KMike,19,260e6,<module>@c_and_c_server_db.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,19,260e6,<module>@ransomware_core_comms_decrypt.py_slice.py,Undetermined,Undetermined,,False,True
KMike,19,260e6,<body>@c_and_c_server_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,20,c18d4,NEW@<module>@ransomware_core_decrypt_files.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,20,c18d4,NEW@initialise@c_and_c_server_server.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,20,c18d4,NEW@<body>@ransomware_core_crypto_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,20,c18d4,NEW@<module>@ransomware_core_comms_cnc_generator.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,20,c18d4,<module>@ransomware_core_utils_statistics.py_slice.py,Benign,Benign,,False,True
KMike,20,c18d4,<module>@helper_scripts_master_key_pair_gen.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,20,c18d4,<module>@ransomware_core_utils_file_ops.py_slice.py,Undetermined,Undetermined,,False,True
KMike,20,c18d4,<module>@c_and_c_server_payment.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,20,c18d4,<module>@c_and_c_server_server.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,20,c18d4,NEW@<module>@c_and_c_server_utils.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,20,c18d4,NEW@<body>@c_and_c_server_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,20,c18d4,<module>@c_and_c_server_asymmetric_encryption.py_slice.py,Undetermined,Undetermined,,False,True
KMike,20,c18d4,<module>@c_and_c_server_db.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,21,bf4f9,NEW@<module>@ransomware_core_decrypt_files.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,21,bf4f9,initialise@c_and_c_server_server.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,21,bf4f9,<module>@c_and_c_server_utils.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,21,bf4f9,NEW@<module>@ransomware_core_comms_cnc_generator.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,21,bf4f9,<module>@ransomware_core_utils_statistics.py_slice.py,Benign,Benign,,False,True
KMike,21,bf4f9,<module>@helper_scripts_master_key_pair_gen.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,21,bf4f9,<module>@ransomware_core_utils_file_ops.py_slice.py,Undetermined,Undetermined,,False,True
KMike,21,bf4f9,<body>@ransomware_core_crypto_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,21,bf4f9,<module>@c_and_c_server_payment.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,21,bf4f9,<module>@c_and_c_server_server.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,21,bf4f9,<module>@c_and_c_server_asymmetric_encryption.py_slice.py,Undetermined,Undetermined,,False,True
KMike,21,bf4f9,<module>@c_and_c_server_db.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,21,bf4f9,<body>@c_and_c_server_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,22,1f1ca,initialise@c_and_c_server_server.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,22,1f1ca,<module>@c_and_c_server_utils.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,22,1f1ca,<module>@ransomware_core_utils_statistics.py_slice.py,Benign,Benign,,False,True
KMike,22,1f1ca,<module>@helper_scripts_master_key_pair_gen.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,22,1f1ca,<module>@ransomware_core_utils_file_ops.py_slice.py,Undetermined,Undetermined,,False,True
KMike,22,1f1ca,<module>@ransomware_core_comms_cnc_generator.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,22,1f1ca,<body>@ransomware_core_crypto_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,22,1f1ca,<module>@ransomware_core_decrypt_files.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,22,1f1ca,<module>@c_and_c_server_payment.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,22,1f1ca,<module>@c_and_c_server_server.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,22,1f1ca,<module>@c_and_c_server_asymmetric_encryption.py_slice.py,Undetermined,Undetermined,,False,True
KMike,22,1f1ca,<module>@c_and_c_server_db.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,22,1f1ca,<body>@c_and_c_server_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,23,b7edb,initialise@c_and_c_server_server.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,23,b7edb,<module>@c_and_c_server_utils.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,23,b7edb,<module>@ransomware_core_utils_statistics.py_slice.py,Benign,Benign,,False,True
KMike,23,b7edb,<module>@helper_scripts_master_key_pair_gen.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,23,b7edb,<module>@ransomware_core_utils_file_ops.py_slice.py,Undetermined,Undetermined,,False,True
KMike,23,b7edb,<module>@ransomware_core_comms_cnc_generator.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,23,b7edb,<body>@ransomware_core_crypto_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,23,b7edb,<module>@ransomware_core_decrypt_files.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,23,b7edb,<module>@c_and_c_server_payment.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,23,b7edb,<module>@c_and_c_server_server.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,23,b7edb,<module>@c_and_c_server_asymmetric_encryption.py_slice.py,Undetermined,Undetermined,,False,True
KMike,23,b7edb,<module>@c_and_c_server_db.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,23,b7edb,<body>@c_and_c_server_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,24,51fa8,initialise@c_and_c_server_server.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,24,51fa8,<module>@c_and_c_server_utils.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,24,51fa8,<module>@ransomware_core_utils_statistics.py_slice.py,Benign,Benign,,False,True
KMike,24,51fa8,<module>@helper_scripts_master_key_pair_gen.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,24,51fa8,<module>@ransomware_core_utils_file_ops.py_slice.py,Undetermined,Undetermined,,False,True
KMike,24,51fa8,<module>@ransomware_core_comms_cnc_generator.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,24,51fa8,<body>@ransomware_core_crypto_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,24,51fa8,<module>@ransomware_core_decrypt_files.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,24,51fa8,<module>@c_and_c_server_payment.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,24,51fa8,<module>@c_and_c_server_server.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,24,51fa8,<module>@c_and_c_server_asymmetric_encryption.py_slice.py,Undetermined,Undetermined,,False,True
KMike,24,51fa8,<module>@c_and_c_server_db.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,24,51fa8,<body>@c_and_c_server_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,25,7aa7d,NEW@<module>@ransomware_core_decrypt_files.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,25,7aa7d,initialise@c_and_c_server_server.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,25,7aa7d,<module>@c_and_c_server_utils.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,25,7aa7d,NEW@<module>@ransomware_core_comms_cnc_generator.py_slice.py,Core Attack Chain,Full Attack Chain,server error,False,True
KMike,25,7aa7d,<module>@ransomware_core_utils_statistics.py_slice.py,Benign,Benign,,False,True
KMike,25,7aa7d,<module>@helper_scripts_master_key_pair_gen.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,25,7aa7d,<module>@ransomware_core_utils_file_ops.py_slice.py,Undetermined,Undetermined,,False,True
KMike,25,7aa7d,<body>@ransomware_core_crypto_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,25,7aa7d,<module>@c_and_c_server_payment.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,25,7aa7d,<module>@c_and_c_server_server.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,25,7aa7d,<module>@c_and_c_server_asymmetric_encryption.py_slice.py,Undetermined,Undetermined,,False,True
KMike,25,7aa7d,<module>@c_and_c_server_db.py_slice.py,Core Attack Chain,Core Attack Chain,,False,True
KMike,25,7aa7d,<body>@c_and_c_server_asymmetric_encryption.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,26,36360,initialise@c_and_c_server_server.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
KMike,26,36360,<module>@c_and_c_server_utils.py_slice.py,Core Attack Chain,Full Attack Chain,,False,True
