repo_name,slice_id,first_commit_num,first_commit,first_state,first_core_commit_num,first_core_commit,starts_as_core,timeline_len,core_occurrence_count,core_commit_nums,core_commits,state_path,timeline
KMike,<body>@c_and_c_server_server.py_slice.py,6,e3a63,Core Attack Chain,6,e3a63,1,1,1,6,e3a63,Core Attack Chain,6(e3a63):Core Attack Chain
KMike,<body>@ransomware_core_crypto_asymmetric_encryption.py_slice.py,13,1ccc9,Core Attack Chain,13,1ccc9,1,27,27,13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39,1ccc9;62b21;abafd;33184;d75a9;6e12c;260e6;c18d4;bf4f9;1f1ca;b7edb;51fa8;7aa7d;36360;9873a;ef755;658cc;6201f;3a48f;8ed32;55750;3f8b3;a7ccd;602d0;a6b60;ad463;3af22,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,13(1ccc9):Core Attack Chain -> 14(62b21):Core Attack Chain -> 15(abafd):Core Attack Chain -> 16(33184):Core Attack Chain -> 17(d75a9):Core Attack Chain -> 18(6e12c):Core Attack Chain -> 19(260e6):Core Attack Chain -> 20(c18d4):Core Attack Chain -> 21(bf4f9):Core Attack Chain -> 22(1f1ca):Core Attack Chain -> 23(b7edb):Core Attack Chain -> 24(51fa8):Core Attack Chain -> 25(7aa7d):Core Attack Chain -> 26(36360):Core Attack Chain -> 27(9873a):Core Attack Chain -> 28(ef755):Core Attack Chain -> 29(658cc):Core Attack Chain -> 30(6201f):Core Attack Chain -> 31(3a48f):Core Attack Chain -> 32(8ed32):Core Attack Chain -> 33(55750):Core Attack Chain -> 34(3f8b3):Core Attack Chain -> 35(a7ccd):Core Attack Chain -> 36(602d0):Core Attack Chain -> 37(a6b60):Core Attack Chain -> 38(ad463):Core Attack Chain -> 39(3af22):Core Attack Chain
KMike,<module>@c_and_c_server_db.py_slice.py,14,62b21,Core Attack Chain,14,62b21,1,26,26,14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39,62b21;abafd;33184;d75a9;6e12c;260e6;c18d4;bf4f9;1f1ca;b7edb;51fa8;7aa7d;36360;9873a;ef755;658cc;6201f;3a48f;8ed32;55750;3f8b3;a7ccd;602d0;a6b60;ad463;3af22,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,14(62b21):Core Attack Chain -> 15(abafd):Core Attack Chain -> 16(33184):Core Attack Chain -> 17(d75a9):Core Attack Chain -> 18(6e12c):Core Attack Chain -> 19(260e6):Core Attack Chain -> 20(c18d4):Core Attack Chain -> 21(bf4f9):Core Attack Chain -> 22(1f1ca):Core Attack Chain -> 23(b7edb):Core Attack Chain -> 24(51fa8):Core Attack Chain -> 25(7aa7d):Core Attack Chain -> 26(36360):Core Attack Chain -> 27(9873a):Core Attack Chain -> 28(ef755):Core Attack Chain -> 29(658cc):Core Attack Chain -> 30(6201f):Core Attack Chain -> 31(3a48f):Core Attack Chain -> 32(8ed32):Core Attack Chain -> 33(55750):Core Attack Chain -> 34(3f8b3):Core Attack Chain -> 35(a7ccd):Core Attack Chain -> 36(602d0):Core Attack Chain -> 37(a6b60):Core Attack Chain -> 38(ad463):Core Attack Chain -> 39(3af22):Core Attack Chain
KMike,<module>@c_and_c_server_payment.py_slice.py,13,1ccc9,Benign,14,62b21,0,27,26,14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39,62b21;abafd;33184;d75a9;6e12c;260e6;c18d4;bf4f9;1f1ca;b7edb;51fa8;7aa7d;36360;9873a;ef755;658cc;6201f;3a48f;8ed32;55750;3f8b3;a7ccd;602d0;a6b60;ad463;3af22,Benign -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,13(1ccc9):Benign -> 14(62b21):Core Attack Chain -> 15(abafd):Core Attack Chain -> 16(33184):Core Attack Chain -> 17(d75a9):Core Attack Chain -> 18(6e12c):Core Attack Chain -> 19(260e6):Core Attack Chain -> 20(c18d4):Core Attack Chain -> 21(bf4f9):Core Attack Chain -> 22(1f1ca):Core Attack Chain -> 23(b7edb):Core Attack Chain -> 24(51fa8):Core Attack Chain -> 25(7aa7d):Core Attack Chain -> 26(36360):Core Attack Chain -> 27(9873a):Core Attack Chain -> 28(ef755):Core Attack Chain -> 29(658cc):Core Attack Chain -> 30(6201f):Core Attack Chain -> 31(3a48f):Core Attack Chain -> 32(8ed32):Core Attack Chain -> 33(55750):Core Attack Chain -> 34(3f8b3):Core Attack Chain -> 35(a7ccd):Core Attack Chain -> 36(602d0):Core Attack Chain -> 37(a6b60):Core Attack Chain -> 38(ad463):Core Attack Chain -> 39(3af22):Core Attack Chain
KMike,<module>@c_and_c_server_server.py_slice.py,6,e3a63,Undetermined,10,f9b65,0,33,29,10;11;12;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39,f9b65;53197;647fe;62b21;abafd;33184;d75a9;6e12c;260e6;c18d4;bf4f9;1f1ca;b7edb;51fa8;7aa7d;36360;9873a;ef755;658cc;6201f;3a48f;8ed32;55750;3f8b3;a7ccd;602d0;a6b60;ad463;3af22,Undetermined -> Undetermined -> Undetermined -> Undetermined -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,6(e3a63):Undetermined -> 7(8fb52):Undetermined -> 8(15cec):Undetermined -> 9(dd6c0):Undetermined -> 10(f9b65):Core Attack Chain -> 11(53197):Core Attack Chain -> 12(647fe):Core Attack Chain -> 14(62b21):Core Attack Chain -> 15(abafd):Core Attack Chain -> 16(33184):Core Attack Chain -> 17(d75a9):Core Attack Chain -> 18(6e12c):Core Attack Chain -> 19(260e6):Core Attack Chain -> 20(c18d4):Core Attack Chain -> 21(bf4f9):Core Attack Chain -> 22(1f1ca):Core Attack Chain -> 23(b7edb):Core Attack Chain -> 24(51fa8):Core Attack Chain -> 25(7aa7d):Core Attack Chain -> 26(36360):Core Attack Chain -> 27(9873a):Core Attack Chain -> 28(ef755):Core Attack Chain -> 29(658cc):Core Attack Chain -> 30(6201f):Core Attack Chain -> 31(3a48f):Core Attack Chain -> 32(8ed32):Core Attack Chain -> 33(55750):Core Attack Chain -> 34(3f8b3):Core Attack Chain -> 35(a7ccd):Core Attack Chain -> 36(602d0):Core Attack Chain -> 37(a6b60):Core Attack Chain -> 38(ad463):Core Attack Chain -> 39(3af22):Core Attack Chain
KMike,<module>@c_and_c_server_utils.py_slice.py,13,1ccc9,Core Attack Chain,13,1ccc9,1,27,27,13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39,1ccc9;62b21;abafd;33184;d75a9;6e12c;260e6;c18d4;bf4f9;1f1ca;b7edb;51fa8;7aa7d;36360;9873a;ef755;658cc;6201f;3a48f;8ed32;55750;3f8b3;a7ccd;602d0;a6b60;ad463;3af22,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,13(1ccc9):Core Attack Chain -> 14(62b21):Core Attack Chain -> 15(abafd):Core Attack Chain -> 16(33184):Core Attack Chain -> 17(d75a9):Core Attack Chain -> 18(6e12c):Core Attack Chain -> 19(260e6):Core Attack Chain -> 20(c18d4):Core Attack Chain -> 21(bf4f9):Core Attack Chain -> 22(1f1ca):Core Attack Chain -> 23(b7edb):Core Attack Chain -> 24(51fa8):Core Attack Chain -> 25(7aa7d):Core Attack Chain -> 26(36360):Core Attack Chain -> 27(9873a):Core Attack Chain -> 28(ef755):Core Attack Chain -> 29(658cc):Core Attack Chain -> 30(6201f):Core Attack Chain -> 31(3a48f):Core Attack Chain -> 32(8ed32):Core Attack Chain -> 33(55750):Core Attack Chain -> 34(3f8b3):Core Attack Chain -> 35(a7ccd):Core Attack Chain -> 36(602d0):Core Attack Chain -> 37(a6b60):Core Attack Chain -> 38(ad463):Core Attack Chain -> 39(3af22):Core Attack Chain
KMike,<module>@helper_scripts_master_key_pair_gen.py_slice.py,6,e3a63,Core Attack Chain,6,e3a63,1,34,34,6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39,e3a63;8fb52;15cec;dd6c0;f9b65;53197;647fe;1ccc9;62b21;abafd;33184;d75a9;6e12c;260e6;c18d4;bf4f9;1f1ca;b7edb;51fa8;7aa7d;36360;9873a;ef755;658cc;6201f;3a48f;8ed32;55750;3f8b3;a7ccd;602d0;a6b60;ad463;3af22,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,6(e3a63):Core Attack Chain -> 7(8fb52):Core Attack Chain -> 8(15cec):Core Attack Chain -> 9(dd6c0):Core Attack Chain -> 10(f9b65):Core Attack Chain -> 11(53197):Core Attack Chain -> 12(647fe):Core Attack Chain -> 13(1ccc9):Core Attack Chain -> 14(62b21):Core Attack Chain -> 15(abafd):Core Attack Chain -> 16(33184):Core Attack Chain -> 17(d75a9):Core Attack Chain -> 18(6e12c):Core Attack Chain -> 19(260e6):Core Attack Chain -> 20(c18d4):Core Attack Chain -> 21(bf4f9):Core Attack Chain -> 22(1f1ca):Core Attack Chain -> 23(b7edb):Core Attack Chain -> 24(51fa8):Core Attack Chain -> 25(7aa7d):Core Attack Chain -> 26(36360):Core Attack Chain -> 27(9873a):Core Attack Chain -> 28(ef755):Core Attack Chain -> 29(658cc):Core Attack Chain -> 30(6201f):Core Attack Chain -> 31(3a48f):Core Attack Chain -> 32(8ed32):Core Attack Chain -> 33(55750):Core Attack Chain -> 34(3f8b3):Core Attack Chain -> 35(a7ccd):Core Attack Chain -> 36(602d0):Core Attack Chain -> 37(a6b60):Core Attack Chain -> 38(ad463):Core Attack Chain -> 39(3af22):Core Attack Chain
KMike,<module>@ransomware_basic_functionality___main__.py_slice.py,3,c5401,Core Attack Chain,3,c5401,1,9,9,3;4;5;6;7;8;9;10;11,c5401;4e187;d08a2;e3a63;8fb52;15cec;dd6c0;f9b65;53197,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,3(c5401):Core Attack Chain -> 4(4e187):Core Attack Chain -> 5(d08a2):Core Attack Chain -> 6(e3a63):Core Attack Chain -> 7(8fb52):Core Attack Chain -> 8(15cec):Core Attack Chain -> 9(dd6c0):Core Attack Chain -> 10(f9b65):Core Attack Chain -> 11(53197):Core Attack Chain
KMike,<module>@ransomware_basic_functionality_comms.py_slice.py,9,dd6c0,Undetermined,10,f9b65,0,3,2,10;11,f9b65;53197,Undetermined -> Core Attack Chain -> Core Attack Chain,9(dd6c0):Undetermined -> 10(f9b65):Core Attack Chain -> 11(53197):Core Attack Chain
KMike,<module>@ransomware_basic_functionality_decrypt_files.py_slice.py,3,c5401,Benign,6,e3a63,0,9,6,6;7;8;9;10;11,e3a63;8fb52;15cec;dd6c0;f9b65;53197,Benign -> Benign -> Benign -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,3(c5401):Benign -> 4(4e187):Benign -> 5(d08a2):Benign -> 6(e3a63):Core Attack Chain -> 7(8fb52):Core Attack Chain -> 8(15cec):Core Attack Chain -> 9(dd6c0):Core Attack Chain -> 10(f9b65):Core Attack Chain -> 11(53197):Core Attack Chain
KMike,<module>@ransomware_basic_functionality_encrypt_files.py_slice.py,3,c5401,Core Attack Chain,3,c5401,1,9,9,3;4;5;6;7;8;9;10;11,c5401;4e187;d08a2;e3a63;8fb52;15cec;dd6c0;f9b65;53197,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,3(c5401):Core Attack Chain -> 4(4e187):Core Attack Chain -> 5(d08a2):Core Attack Chain -> 6(e3a63):Core Attack Chain -> 7(8fb52):Core Attack Chain -> 8(15cec):Core Attack Chain -> 9(dd6c0):Core Attack Chain -> 10(f9b65):Core Attack Chain -> 11(53197):Core Attack Chain
KMike,<module>@ransomware_basic_functionality_utils.py_slice.py,3,c5401,Core Attack Chain,3,c5401,1,9,6,3;4;5;6;7;8,c5401;4e187;d08a2;e3a63;8fb52;15cec,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Benign -> Benign -> Benign,3(c5401):Core Attack Chain -> 4(4e187):Core Attack Chain -> 5(d08a2):Core Attack Chain -> 6(e3a63):Core Attack Chain -> 7(8fb52):Core Attack Chain -> 8(15cec):Core Attack Chain -> 9(dd6c0):Benign -> 10(f9b65):Benign -> 11(53197):Benign
KMike,<module>@ransomware_core___main__.py_slice.py,12,647fe,Core Attack Chain,12,647fe,1,1,1,12,647fe,Core Attack Chain,12(647fe):Core Attack Chain
KMike,<module>@ransomware_core_comms.py_slice.py,12,647fe,Core Attack Chain,12,647fe,1,1,1,12,647fe,Core Attack Chain,12(647fe):Core Attack Chain
KMike,<module>@ransomware_core_comms_bitcoin_address.py_slice.py,16,33184,Undetermined,34,3f8b3,0,10,6,34;35;36;37;38;39,3f8b3;a7ccd;602d0;a6b60;ad463;3af22,Undetermined -> Undetermined -> Undetermined -> Undetermined -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,16(33184):Undetermined -> 17(d75a9):Undetermined -> 18(6e12c):Undetermined -> 19(260e6):Undetermined -> 34(3f8b3):Core Attack Chain -> 35(a7ccd):Core Attack Chain -> 36(602d0):Core Attack Chain -> 37(a6b60):Core Attack Chain -> 38(ad463):Core Attack Chain -> 39(3af22):Core Attack Chain
KMike,<module>@ransomware_core_comms_cnc_generator.py_slice.py,20,c18d4,Core Attack Chain,20,c18d4,1,20,20,20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39,c18d4;bf4f9;1f1ca;b7edb;51fa8;7aa7d;36360;9873a;ef755;658cc;6201f;3a48f;8ed32;55750;3f8b3;a7ccd;602d0;a6b60;ad463;3af22,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,20(c18d4):Core Attack Chain -> 21(bf4f9):Core Attack Chain -> 22(1f1ca):Core Attack Chain -> 23(b7edb):Core Attack Chain -> 24(51fa8):Core Attack Chain -> 25(7aa7d):Core Attack Chain -> 26(36360):Core Attack Chain -> 27(9873a):Core Attack Chain -> 28(ef755):Core Attack Chain -> 29(658cc):Core Attack Chain -> 30(6201f):Core Attack Chain -> 31(3a48f):Core Attack Chain -> 32(8ed32):Core Attack Chain -> 33(55750):Core Attack Chain -> 34(3f8b3):Core Attack Chain -> 35(a7ccd):Core Attack Chain -> 36(602d0):Core Attack Chain -> 37(a6b60):Core Attack Chain -> 38(ad463):Core Attack Chain -> 39(3af22):Core Attack Chain
KMike,<module>@ransomware_core_comms_decrypt.py_slice.py,13,1ccc9,Undetermined,34,3f8b3,0,13,6,34;35;36;37;38;39,3f8b3;a7ccd;602d0;a6b60;ad463;3af22,Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,13(1ccc9):Undetermined -> 14(62b21):Undetermined -> 15(abafd):Undetermined -> 16(33184):Undetermined -> 17(d75a9):Undetermined -> 18(6e12c):Undetermined -> 19(260e6):Undetermined -> 34(3f8b3):Core Attack Chain -> 35(a7ccd):Core Attack Chain -> 36(602d0):Core Attack Chain -> 37(a6b60):Core Attack Chain -> 38(ad463):Core Attack Chain -> 39(3af22):Core Attack Chain
