repo_name,slice_id,chain_type,start_state,timeline_len,has_bu,has_c,has_f,first_core_commit_num,first_full_commit_num,has_full_commit0,state_path,timeline
BskyBot,<body>@core_bsky_client.py_slice.py,all_benign_or_undetermined,Benign,13,1,0,0,,,0,Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign,0(60dc3):Benign -> 1(e7c5d):Benign -> 2(dc601):Benign -> 3(48818):Benign -> 4(bae5f):Benign -> 5(b7819):Benign -> 6(57dd6):Benign -> 7(7e97f):Benign -> 8(e0939):Benign -> 9(d789a):Benign -> 10(baced):Benign -> 11(fbe51):Benign -> 12(b40cc):Benign
BskyBot,<body>@core_dummy_image_path_generator.py_slice.py,all_benign_or_undetermined,Benign,9,1,0,0,,,0,Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign,4(bae5f):Benign -> 5(b7819):Benign -> 6(57dd6):Benign -> 7(7e97f):Benign -> 8(e0939):Benign -> 9(d789a):Benign -> 10(baced):Benign -> 11(fbe51):Benign -> 12(b40cc):Benign
BskyBot,<module>@bot.py_slice.py,all_full,Full Attack Chain,7,0,0,1,,6,0,Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain,6(57dd6):Full Attack Chain -> 7(7e97f):Full Attack Chain -> 8(e0939):Full Attack Chain -> 9(d789a):Full Attack Chain -> 10(baced):Full Attack Chain -> 11(fbe51):Full Attack Chain -> 12(b40cc):Full Attack Chain
BskyBot,<module>@bot_bot.py_slice.py,all_full,Full Attack Chain,2,0,0,1,,4,0,Full Attack Chain -> Full Attack Chain,4(bae5f):Full Attack Chain -> 5(b7819):Full Attack Chain
BskyBot,<module>@controller.py_slice.py,all_full,Full Attack Chain,6,0,0,1,,7,0,Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain,7(7e97f):Full Attack Chain -> 8(e0939):Full Attack Chain -> 9(d789a):Full Attack Chain -> 10(baced):Full Attack Chain -> 11(fbe51):Full Attack Chain -> 12(b40cc):Full Attack Chain
BskyBot,<module>@example.py_slice.py,all_benign_or_undetermined,Benign,2,1,0,0,,,0,Benign -> Benign,4(bae5f):Benign -> 5(b7819):Benign
BskyBot,decode@core_jpeg_stegano.py_slice.py,all_benign_or_undetermined,Undetermined,12,1,0,0,,,0,Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined,1(e7c5d):Undetermined -> 2(dc601):Undetermined -> 3(48818):Undetermined -> 4(bae5f):Undetermined -> 5(b7819):Undetermined -> 6(57dd6):Undetermined -> 7(7e97f):Undetermined -> 8(e0939):Undetermined -> 9(d789a):Undetermined -> 10(baced):Undetermined -> 11(fbe51):Undetermined -> 12(b40cc):Undetermined
BskyBot,deserialize_bytes@core_data_serializer.py_slice.py,all_benign_or_undetermined,Undetermined,11,1,0,0,,,0,Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined,2(dc601):Undetermined -> 3(48818):Undetermined -> 4(bae5f):Undetermined -> 5(b7819):Undetermined -> 6(57dd6):Undetermined -> 7(7e97f):Undetermined -> 8(e0939):Undetermined -> 9(d789a):Undetermined -> 10(baced):Undetermined -> 11(fbe51):Undetermined -> 12(b40cc):Undetermined
BskyBot,deserialize_string@core_data_serializer.py_slice.py,all_benign_or_undetermined,Undetermined,2,1,0,0,,,0,Undetermined -> Undetermined,2(dc601):Undetermined -> 3(48818):Undetermined
BskyBot,encode@core_jpeg_stegano.py_slice.py,all_benign_or_undetermined,Undetermined,12,1,0,0,,,0,Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined -> Undetermined,1(e7c5d):Undetermined -> 2(dc601):Undetermined -> 3(48818):Undetermined -> 4(bae5f):Undetermined -> 5(b7819):Undetermined -> 6(57dd6):Undetermined -> 7(7e97f):Undetermined -> 8(e0939):Undetermined -> 9(d789a):Undetermined -> 10(baced):Undetermined -> 11(fbe51):Undetermined -> 12(b40cc):Undetermined
Cerberus,<module>@Cerberus.py_slice.py,all_full,Full Attack Chain,9,0,0,1,,0,1,Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain,0(ab1e0):Full Attack Chain -> 1(44601):Full Attack Chain -> 2(cb198):Full Attack Chain -> 3(7d2ad):Full Attack Chain -> 4(e8f21):Full Attack Chain -> 5(f03d4):Full Attack Chain -> 6(261a4):Full Attack Chain -> 7(1262b):Full Attack Chain -> 8(f5ca7):Full Attack Chain
Chrome_pass_stealer,<module>@chromepass.py_slice.py,core_to_full_no_bu,Core Attack Chain,12,0,1,1,0,4,0,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain,0(915e2):Core Attack Chain -> 1(915e2):Core Attack Chain -> 2(5c618):Core Attack Chain -> 3(915e2):Core Attack Chain -> 4(d766e):Full Attack Chain -> 5(444fc):Full Attack Chain -> 6(915e2):Full Attack Chain -> 7(73291):Full Attack Chain -> 8(4ac98):Full Attack Chain -> 9(56cdf):Full Attack Chain -> 11(b6c64):Full Attack Chain -> 12(5d3bc):Full Attack Chain
Doomed,<body>@DOOM_npc.py_slice.py,all_benign_or_undetermined,Benign,4,1,0,0,,,0,Benign -> Benign -> Benign -> Benign,4(01c74):Benign -> 5(2b87d):Benign -> 7(920bf):Benign -> 8(06b31):Benign
Doomed,<body>@DOOM_sprite_object.py_slice.py,all_benign_or_undetermined,Benign,5,1,0,0,,,0,Benign -> Benign -> Benign -> Benign -> Benign,4(01c74):Benign -> 5(2b87d):Benign -> 6(a580d):Benign -> 7(920bf):Benign -> 8(06b31):Benign
Doomed,<body>@DOOM_weapon.py_slice.py,all_benign_or_undetermined,Benign,2,1,0,0,,,0,Benign -> Benign,7(920bf):Benign -> 8(06b31):Benign
Doomed,<body>@game_npc.py_slice.py,all_benign_or_undetermined,Benign,2,1,0,0,,,0,Benign -> Benign,0(d5b77):Benign -> 1(1e3ca):Benign
Doomed,<body>@game_sprite_object.py_slice.py,all_benign_or_undetermined,Benign,2,1,0,0,,,0,Benign -> Benign,0(d5b77):Benign -> 1(1e3ca):Benign
Doomed,<body>@npc.py_slice.py,all_benign_or_undetermined,Benign,1,1,0,0,,,0,Benign,1(1e3ca):Benign
Doomed,<body>@sprite_object.py_slice.py,all_benign_or_undetermined,Benign,3,1,0,0,,,0,Benign -> Benign -> Benign,1(1e3ca):Benign -> 2(d1557):Benign -> 3(8e8c4):Benign
Doomed,<module>@DOOM.py_slice.py,all_full,Full Attack Chain,5,0,0,1,,4,0,Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain,4(01c74):Full Attack Chain -> 5(2b87d):Full Attack Chain -> 6(a580d):Full Attack Chain -> 7(920bf):Full Attack Chain -> 8(06b31):Full Attack Chain
Doomed,<module>@DOOM_lock.py_slice.py,core_to_full_no_bu,Core Attack Chain,5,0,1,1,4,7,0,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Full Attack Chain -> Full Attack Chain,4(01c74):Core Attack Chain -> 5(2b87d):Core Attack Chain -> 6(a580d):Core Attack Chain -> 7(920bf):Full Attack Chain -> 8(06b31):Full Attack Chain
Doomed,<module>@deneme.py_slice.py,all_benign_or_undetermined,Undetermined,2,1,0,0,,,0,Undetermined -> Undetermined,0(d5b77):Undetermined -> 1(1e3ca):Undetermined
Doomed,<module>@doomed.py_slice.py,benign_or_undetermined_to_full,Undetermined,4,1,0,1,,2,0,Undetermined -> Undetermined -> Full Attack Chain -> Full Attack Chain,0(d5b77):Undetermined -> 1(1e3ca):Undetermined -> 2(d1557):Full Attack Chain -> 3(8e8c4):Full Attack Chain
Doomed,<module>@lock.py_slice.py,full_then_core_no_bu,Full Attack Chain,4,0,1,1,3,0,1,Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Core Attack Chain,0(d5b77):Full Attack Chain -> 1(1e3ca):Full Attack Chain -> 2(d1557):Full Attack Chain -> 3(8e8c4):Core Attack Chain
EvilCrow,<module>@EvilCrow.py_slice.py,all_full,Full Attack Chain,3,0,0,1,,0,1,Full Attack Chain -> Full Attack Chain -> Full Attack Chain,0(402ea):Full Attack Chain -> 1(2ec65):Full Attack Chain -> 2(8c077):Full Attack Chain
HackerDoomsday,<module>@gui.py_slice.py,all_full,Full Attack Chain,21,0,0,1,,3,0,Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain,3(90d6a):Full Attack Chain -> 4(4dce8):Full Attack Chain -> 5(96855):Full Attack Chain -> 6(74617):Full Attack Chain -> 7(55bbf):Full Attack Chain -> 8(63891):Full Attack Chain -> 9(587b0):Full Attack Chain -> 10(b73db):Full Attack Chain -> 11(cfc7a):Full Attack Chain -> 12(22e8b):Full Attack Chain -> 13(584b5):Full Attack Chain -> 14(79e7c):Full Attack Chain -> 15(2b860):Full Attack Chain -> 16(de183):Full Attack Chain -> 17(2bf39):Full Attack Chain -> 18(b4360):Full Attack Chain -> 19(09785):Full Attack Chain -> 20(9b8ec):Full Attack Chain -> 21(88b3c):Full Attack Chain -> 22(3b318):Full Attack Chain -> 23(cc00d):Full Attack Chain
HackerDoomsday,<module>@main.py_slice.py,all_full,Full Attack Chain,22,0,0,1,,2,0,Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain,2(4533e):Full Attack Chain -> 3(90d6a):Full Attack Chain -> 4(4dce8):Full Attack Chain -> 5(96855):Full Attack Chain -> 6(74617):Full Attack Chain -> 7(55bbf):Full Attack Chain -> 8(63891):Full Attack Chain -> 9(587b0):Full Attack Chain -> 10(b73db):Full Attack Chain -> 11(cfc7a):Full Attack Chain -> 12(22e8b):Full Attack Chain -> 13(584b5):Full Attack Chain -> 14(79e7c):Full Attack Chain -> 15(2b860):Full Attack Chain -> 16(de183):Full Attack Chain -> 17(2bf39):Full Attack Chain -> 18(b4360):Full Attack Chain -> 19(09785):Full Attack Chain -> 20(9b8ec):Full Attack Chain -> 21(88b3c):Full Attack Chain -> 22(3b318):Full Attack Chain -> 23(cc00d):Full Attack Chain
HackerDoomsday,<module>@multimedia.py_slice.py,all_full,Full Attack Chain,21,0,0,1,,3,0,Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain,3(90d6a):Full Attack Chain -> 4(4dce8):Full Attack Chain -> 5(96855):Full Attack Chain -> 6(74617):Full Attack Chain -> 7(55bbf):Full Attack Chain -> 8(63891):Full Attack Chain -> 9(587b0):Full Attack Chain -> 10(b73db):Full Attack Chain -> 11(cfc7a):Full Attack Chain -> 12(22e8b):Full Attack Chain -> 13(584b5):Full Attack Chain -> 14(79e7c):Full Attack Chain -> 15(2b860):Full Attack Chain -> 16(de183):Full Attack Chain -> 17(2bf39):Full Attack Chain -> 18(b4360):Full Attack Chain -> 19(09785):Full Attack Chain -> 20(9b8ec):Full Attack Chain -> 21(88b3c):Full Attack Chain -> 22(3b318):Full Attack Chain -> 23(cc00d):Full Attack Chain
HackerDoomsday,<module>@regedit_and_virus_safe.py_slice.py,benign_or_undetermined_to_full,Full Attack Chain,21,1,0,1,,3,0,Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Undetermined -> Undetermined -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain,3(90d6a):Full Attack Chain -> 4(4dce8):Full Attack Chain -> 5(96855):Full Attack Chain -> 6(74617):Full Attack Chain -> 7(55bbf):Full Attack Chain -> 8(63891):Full Attack Chain -> 9(587b0):Full Attack Chain -> 10(b73db):Full Attack Chain -> 11(cfc7a):Full Attack Chain -> 12(22e8b):Full Attack Chain -> 13(584b5):Full Attack Chain -> 14(79e7c):Full Attack Chain -> 15(2b860):Full Attack Chain -> 16(de183):Full Attack Chain -> 17(2bf39):Full Attack Chain -> 18(b4360):Undetermined -> 19(09785):Undetermined -> 20(9b8ec):Full Attack Chain -> 21(88b3c):Full Attack Chain -> 22(3b318):Full Attack Chain -> 23(cc00d):Full Attack Chain
HackerDoomsday,<module>@start_gdi.py_slice.py,all_full,Full Attack Chain,21,0,0,1,,3,0,Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain,3(90d6a):Full Attack Chain -> 4(4dce8):Full Attack Chain -> 5(96855):Full Attack Chain -> 6(74617):Full Attack Chain -> 7(55bbf):Full Attack Chain -> 8(63891):Full Attack Chain -> 9(587b0):Full Attack Chain -> 10(b73db):Full Attack Chain -> 11(cfc7a):Full Attack Chain -> 12(22e8b):Full Attack Chain -> 13(584b5):Full Attack Chain -> 14(79e7c):Full Attack Chain -> 15(2b860):Full Attack Chain -> 16(de183):Full Attack Chain -> 17(2bf39):Full Attack Chain -> 18(b4360):Full Attack Chain -> 19(09785):Full Attack Chain -> 20(9b8ec):Full Attack Chain -> 21(88b3c):Full Attack Chain -> 22(3b318):Full Attack Chain -> 23(cc00d):Full Attack Chain
HackerDoomsday,worker@regedit_and_virus_safe.py_slice.py,benign_or_undetermined_to_core,Core Attack Chain,2,1,1,0,14,,0,Core Attack Chain -> Benign,14(79e7c):Core Attack Chain -> 18(b4360):Benign
Hallucinate,<module>@compiler.py_slice.py,all_benign_or_undetermined,Benign,5,1,0,0,,,0,Benign -> Benign -> Benign -> Benign -> Benign,0(1ab46):Benign -> 1(1971e):Benign -> 2(cf047):Benign -> 3(ea14a):Benign -> 4(961c9):Benign
Hallucinate,<module>@main.py_slice.py,all_full,Full Attack Chain,1,0,0,1,,4,0,Full Attack Chain,4(961c9):Full Attack Chain
Infinite-Folder-Virus,<module>@EnvCreator.py_slice.py,all_benign_or_undetermined,Benign,10,1,0,0,,,0,Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign -> Benign,10(eb4ab):Benign -> 11(983cf):Benign -> 12(a5995):Benign -> 13(903ad):Benign -> 14(8c8d1):Benign -> 15(f9ce1):Benign -> 16(1c08f):Benign -> 17(9f429):Benign -> 18(926e2):Benign -> 19(4e4db):Benign
Infinite-Folder-Virus,<module>@Fbscraper.py_slice.py,all_benign_or_undetermined,Benign,2,1,0,0,,,0,Benign -> Benign,18(926e2):Benign -> 19(4e4db):Benign
Infinite-Folder-Virus,<module>@attacker.py_slice.py,all_full,Full Attack Chain,19,0,0,1,,1,0,Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain -> Full Attack Chain,1(4a9ea):Full Attack Chain -> 2(65556):Full Attack Chain -> 3(7ac4d):Full Attack Chain -> 4(88f37):Full Attack Chain -> 5(2118e):Full Attack Chain -> 6(90d1d):Full Attack Chain -> 7(a6604):Full Attack Chain -> 8(4f6a1):Full Attack Chain -> 9(f5eb8):Full Attack Chain -> 10(eb4ab):Full Attack Chain -> 11(983cf):Full Attack Chain -> 12(a5995):Full Attack Chain -> 13(903ad):Full Attack Chain -> 14(8c8d1):Full Attack Chain -> 15(f9ce1):Full Attack Chain -> 16(1c08f):Full Attack Chain -> 17(9f429):Full Attack Chain -> 18(926e2):Full Attack Chain -> 19(4e4db):Full Attack Chain
Infinite-Folder-Virus,<module>@base.py_slice.py,benign_or_undetermined_to_full_then_core,Undetermined,16,1,1,1,10,8,0,Undetermined -> Undetermined -> Undetermined -> Undetermined -> Full Attack Chain -> Full Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,4(88f37):Undetermined -> 5(2118e):Undetermined -> 6(90d1d):Undetermined -> 7(a6604):Undetermined -> 8(4f6a1):Full Attack Chain -> 9(f5eb8):Full Attack Chain -> 10(eb4ab):Core Attack Chain -> 11(983cf):Core Attack Chain -> 12(a5995):Core Attack Chain -> 13(903ad):Core Attack Chain -> 14(8c8d1):Core Attack Chain -> 15(f9ce1):Core Attack Chain -> 16(1c08f):Core Attack Chain -> 17(9f429):Core Attack Chain -> 18(926e2):Core Attack Chain -> 19(4e4db):Core Attack Chain
Infinite-Folder-Virus,<module>@ctypesTest.py_slice.py,all_benign_or_undetermined,Benign,2,1,0,0,,,0,Benign -> Benign,16(1c08f):Benign -> 17(9f429):Benign
Infinite-Folder-Virus,<module>@test.py_slice.py,benign_or_undetermined_to_full,Benign,3,1,0,1,,8,0,Benign -> Full Attack Chain -> Benign,2(65556):Benign -> 8(4f6a1):Full Attack Chain -> 9(f5eb8):Benign
KMike,<body>@c_and_c_server_RSA.py_slice.py,all_benign_or_undetermined,Undetermined,1,1,0,0,,,0,Undetermined,6(e3a63):Undetermined
KMike,<body>@c_and_c_server_asymmetric_encryption.py_slice.py,all_core,Core Attack Chain,27,0,1,0,13,,0,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,13(1ccc9):Core Attack Chain -> 14(62b21):Core Attack Chain -> 15(abafd):Core Attack Chain -> 16(33184):Core Attack Chain -> 17(d75a9):Core Attack Chain -> 18(6e12c):Core Attack Chain -> 19(260e6):Core Attack Chain -> 20(c18d4):Core Attack Chain -> 21(bf4f9):Core Attack Chain -> 22(1f1ca):Core Attack Chain -> 23(b7edb):Core Attack Chain -> 24(51fa8):Core Attack Chain -> 25(7aa7d):Core Attack Chain -> 26(36360):Core Attack Chain -> 27(9873a):Core Attack Chain -> 28(ef755):Core Attack Chain -> 29(658cc):Core Attack Chain -> 30(6201f):Core Attack Chain -> 31(3a48f):Core Attack Chain -> 32(8ed32):Core Attack Chain -> 33(55750):Core Attack Chain -> 34(3f8b3):Core Attack Chain -> 35(a7ccd):Core Attack Chain -> 36(602d0):Core Attack Chain -> 37(a6b60):Core Attack Chain -> 38(ad463):Core Attack Chain -> 39(3af22):Core Attack Chain
KMike,<body>@c_and_c_server_server.py_slice.py,all_core,Core Attack Chain,1,0,1,0,6,,0,Core Attack Chain,6(e3a63):Core Attack Chain
KMike,<body>@ransomware_core_crypto_asymmetric_encryption.py_slice.py,all_core,Core Attack Chain,27,0,1,0,13,,0,Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain -> Core Attack Chain,13(1ccc9):Core Attack Chain -> 14(62b21):Core Attack Chain -> 15(abafd):Core Attack Chain -> 16(33184):Core Attack Chain -> 17(d75a9):Core Attack Chain -> 18(6e12c):Core Attack Chain -> 19(260e6):Core Attack Chain -> 20(c18d4):Core Attack Chain -> 21(bf4f9):Core Attack Chain -> 22(1f1ca):Core Attack Chain -> 23(b7edb):Core Attack Chain -> 24(51fa8):Core Attack Chain -> 25(7aa7d):Core Attack Chain -> 26(36360):Core Attack Chain -> 27(9873a):Core Attack Chain -> 28(ef755):Core Attack Chain -> 29(658cc):Core Attack Chain -> 30(6201f):Core Attack Chain -> 31(3a48f):Core Attack Chain -> 32(8ed32):Core Attack Chain -> 33(55750):Core Attack Chain -> 34(3f8b3):Core Attack Chain -> 35(a7ccd):Core Attack Chain -> 36(602d0):Core Attack Chain -> 37(a6b60):Core Attack Chain -> 38(ad463):Core Attack Chain -> 39(3af22):Core Attack Chain
KMike,<module>@c_and_c_server_RSA.py_slice.py,all_benign_or_undetermined,Undetermined,1,1,0,0,,,0,Undetermined,6(e3a63):Undetermined
